Date,Average City MPG
2000-01-01,16.416777733351104
2001-01-01,16.60222555222555
2002-01-01,16.4833912666425
2003-01-01,16.261816927034317
2004-01-01,16.98750431826033
2005-01-01,17.336744201524073
2006-01-01,17.630849630117922
2007-01-01,17.393764453976143
2008-01-01,17.575163015792153
2009-01-01,18.369297988413834
2010-01-01,19.42315678507539
2011-01-01,18.790828571870986
2012-01-01,20.312693374586576
2013-01-01,20.72292573110808
2014-01-01,21.65849673202614
2015-01-01,21.93570556200697
2016-01-01,22.351047631302407
2017-01-01,22.133493965942346
2018-01-01,22.241844184418444
2019-01-01,21.917321178120616
2020-01-01,22.640312201602523
2021-01-01,22.135419388555004
2022-01-01,21.82135872467357
2023-01-01,22.3297285803375
2024-01-01,22.10757109823834
